30,100000,100000,30000
31,102174,113702,30000
32,107432,124690,30000
33,113213,135356,30000
34,119276,146121,30000
35,125579,156953,30000
36,132067,167945,30000
37,138588,179333,30000
38,145328,190799,30000
39,152198,202480,30000
40,159117,214445,30000
41,166094,226775,30000
42,173321,239230,30000
43,180537,252140,30000
44,187992,265101,30000
45,195390,278440,30000
46,202979,292226,30000
47,210557,306086,30000
48,218425,320369,30000
49,226210,335142,30000
50,234334,349692,30000
51,242256,365021,30000
52,250417,380704,30000
53,258756,396495,30000
54,267095,412767,30000
55,275906,429136,30000
56,284541,446220,30000
57,293389,463469,30000
58,302041,481351,30000
59,310951,499686,30000
60,320267,517892,30000
61,329588,536706,30000
62,308861,526249,30000
63,288133,515293,30000
64,267228,503655,30000
65,246378,491338,30000
66,225277,478750,30000
67,203698,465975,30000
68,182094,452466,30000
69,160462,438547,30000
70,138515,424294,30000
71,116162,409574,30000
72,93520,394423,30000
73,70660,378871,29996
74,47566,362743,29987
75,25118,345684,29936
76,4149,328159,29747
77,-14589,310146,29296
78,-28718,291748,28297
79,-39443,274396,26663
80,-46247,258559,24299
81,-50686,244744,21432
82,-53517,233199,18284
83,-55843,223665,15172
84,-57081,216293,12193
85,-57980,210546,9571
86,-59823,205448,7429
87,-59849,203229,5531
88,-59682,201621,4077
89,-59815,199935,3008
90,-58855,199300,2180
91,-58494,197069,1602
92,-60184,194632,1188
93,-57502,195720,828
94,-62225,192634,626
95,-63647,193818,440
96,-62132,197146,302
97,-67235,198770,220
98,-73551,199632,162
99,-80817,208842,112
100,-86892,228113,72
101,-98964,239567,53
102,-109762,254041,38
103,-115196,281750,25
104,-119717,335209,16
105,-129759,346131,13
106,-141924,346947,11
107,-168162,369101,9
108,-162122,457836,5
109,-191130,443687,5
110,0,0,0
